Microbes,truth,prob.-1,prob.1,response,group
Prevotella bivia,1,2.6730028522046756e-6,0.9999973269971478,1,Prevotella bivia_1
Gardnerella vaginalis,1,2.7931796233116498e-6,0.9999972068203767,1,Gardnerella vaginalis_1
Prevotella amnii,1,3.73900141083219e-6,0.9999962609985892,1,Prevotella amnii_1
Mobiluncus mulieris,1,5.375416524011235e-6,0.999994624583476,1,Mobiluncus mulieris_1
Prevotella disiens,NA,1.8793810958823546e-5,0.9999812061890412,1,Prevotella disiens_1
Escherichia coli,1,2.070139236325312e-5,0.9999792986076368,1,Escherichia coli_1
Megasphaera,NA,2.475391692310455e-5,0.9999752460830769,1,Megasphaera_1
Prevotella loescheii,NA,2.492858216437084e-5,0.9999750714178356,1,Prevotella loescheii_1
Sneathia amnii,NA,2.7157088869840124e-5,0.9999728429111302,1,Sneathia amnii_1
Prevotella,NA,3.140943613821212e-5,0.9999685905638618,1,Prevotella_1
Prevotella buccalis,NA,3.6178863852873814e-5,0.9999638211361471,1,Prevotella buccalis_1
Prevotella marshii,NA,3.7892144810129005e-5,0.9999621078551899,1,Prevotella marshii_1
Porphyromonas,NA,3.960753595135984e-5,0.9999603924640487,1,Porphyromonas_1
Atopobium vaginae,NA,4.0331067189804106e-5,0.9999596689328102,1,Atopobium vaginae_1
Prevotella timonensis,NA,4.6983751538039626e-5,0.999953016248462,1,Prevotella timonensis_1
Megasphaera genomosp.,NA,5.567531328799287e-5,0.999944324686712,1,Megasphaera genomosp._1
Porphyromonas uenonis,NA,8.686622129610802e-5,0.9999131337787039,1,Porphyromonas uenonis_1
Peptoniphilus lacrimalis,NA,1.0050538544908114e-4,0.999899494614551,1,Peptoniphilus lacrimalis_1
Mobiluncus curtisii,NA,1.0194740689032692e-4,0.9998980525931097,1,Mobiluncus curtisii_1
Peptoniphilus harei,NA,1.0201505467048593e-4,0.9998979849453296,1,Peptoniphilus harei_1
Prevotella oulorum,NA,1.4413595560423698e-4,0.9998558640443957,1,Prevotella oulorum_1
undistinguishable,NA,1.6408938883953825e-4,0.9998359106111605,1,undistinguishable_1
Peptoniphilus,NA,1.6426171565759007e-4,0.9998357382843424,1,Peptoniphilus_1
Prevotella enoeca,NA,1.7954325453575892e-4,0.9998204567454643,1,Prevotella enoeca_1
Prevotella oris,NA,2.3192608940600433e-4,0.999768073910594,1,Prevotella oris_1
Streptococcus oligofermentans,NA,2.359767293993055e-4,0.9997640232706007,1,Streptococcus oligofermentans_1
Prevotella salivae,NA,2.669357463292303e-4,0.9997330642536708,1,Prevotella salivae_1
Dialister,NA,2.7234370188916645e-4,0.9997276562981108,1,Dialister_1
Ruminococcus bicirculans,NA,2.7267210100085244e-4,0.9997273278989991,1,Ruminococcus bicirculans_1
Mobiluncus,NA,2.866155262558157e-4,0.9997133844737441,1,Mobiluncus_1
Prevotella melaninogenica,NA,3.031414696700139e-4,0.99969685853033,1,Prevotella melaninogenica_1
Prevotella micans,NA,3.537059365574341e-4,0.9996462940634425,1,Prevotella micans_1
Pseudomonas synxantha,NA,3.6415524787800963e-4,0.999635844752122,1,Pseudomonas synxantha_1
Atopobium,NA,3.925449562152024e-4,0.9996074550437848,1,Atopobium_1
Streptococcus infantarius,NA,3.99579750038031e-4,0.999600420249962,1,Streptococcus infantarius_1
Atopobium parvulum,NA,4.01849150986406e-4,0.9995981508490136,1,Atopobium parvulum_1
Pseudomonas bauzanensis,NA,4.1376477333208983e-4,0.9995862352266679,1,Pseudomonas bauzanensis_1
Lactobacillus ghanensis,NA,4.1882881852343913e-4,0.9995811711814766,1,Lactobacillus ghanensis_1
Prevotella denticola,NA,4.269956337095902e-4,0.9995730043662904,1,Prevotella denticola_1
Bifidobacterium tsurumiense,NA,4.3790340208566675e-4,0.9995620965979143,1,Bifidobacterium tsurumiense_1
Peptostreptococcus anaerobius,NA,4.5000913811341965e-4,0.9995499908618866,1,Peptostreptococcus anaerobius_1
Prevotella multisaccharivorax,NA,4.5657891656852346e-4,0.9995434210834315,1,Prevotella multisaccharivorax_1
Bifidobacterium bifidum,NA,4.8319253648775853e-4,0.9995168074635122,1,Bifidobacterium bifidum_1
Prevotella pleuritidis,NA,4.885111416810487e-4,0.999511488858319,1,Prevotella pleuritidis_1
Lactobacillus mucosae,NA,4.934686311883597e-4,0.9995065313688116,1,Lactobacillus mucosae_1
Ruminococcus,NA,5.554966641637314e-4,0.9994445033358362,1,Ruminococcus_1
Bifidobacterium,NA,5.627774091925386e-4,0.9994372225908075,1,Bifidobacterium_1
Prevotella baroniae,NA,5.682205962981034e-4,0.9994317794037019,1,Prevotella baroniae_1
Prevotella histicola,NA,6.049641238515957e-4,0.9993950358761484,1,Prevotella histicola_1
Lactobacillus acidophilus,NA,6.251165696495667e-4,0.9993748834303504,1,Lactobacillus acidophilus_1
Lactobacillus helsingborgensis,NA,6.260674999135516e-4,0.9993739325000864,1,Lactobacillus helsingborgensis_1
Pedobacter antarcticus,NA,6.343194915793279e-4,0.9993656805084207,1,Pedobacter antarcticus_1
Prevotella fusca,NA,6.380143576309261e-4,0.9993619856423691,1,Prevotella fusca_1
Fusobacterium,NA,6.677593896644988e-4,0.9993322406103355,1,Fusobacterium_1
Dialister microaerophilus,NA,6.792469653882033e-4,0.9993207530346118,1,Dialister microaerophilus_1
Dialister micraerophilus,NA,6.792469653882033e-4,0.9993207530346118,1,Dialister micraerophilus_1
Ruminococcus obeum,NA,6.84205304422469e-4,0.9993157946955775,1,Ruminococcus obeum_1
Bifidobacterium dentium,NA,6.92676364101444e-4,0.9993073236358986,1,Bifidobacterium dentium_1
Porphyromonas asaccharolytica,NA,6.94180089785071e-4,0.9993058199102149,1,Porphyromonas asaccharolytica_1
Porphyromonas gingivicanis,NA,7.40297779780666e-4,0.9992597022202193,1,Porphyromonas gingivicanis_1
Shuttleworthia,NA,7.40413304293664e-4,0.9992595866957064,1,Shuttleworthia_1
Lactobacillus gigeriorum,NA,8.435458862529957e-4,0.999156454113747,1,Lactobacillus gigeriorum_1
Streptococcus anginosus,NA,9.27937870793847e-4,0.9990720621292062,1,Streptococcus anginosus_1
Prevotella pallens,NA,9.279881451080687e-4,0.9990720118548919,1,Prevotella pallens_1
Chlamydia trachomatis,NA,9.553859520482211e-4,0.9990446140479518,1,Chlamydia trachomatis_1
Fusobacterium nucleatum,NA,9.588235906593911e-4,0.9990411764093406,1,Fusobacterium nucleatum_1
Lactobacillus gastricus,NA,0.0010164226703101597,0.9989835773296898,1,Lactobacillus gastricus_1
Lactobacillus apis,NA,0.0010959411768001993,0.9989040588231998,1,Lactobacillus apis_1
Pseudomonas psychrophila,NA,0.0011553526233325118,0.9988446473766674,1,Pseudomonas psychrophila_1
Streptococcus mitis,NA,0.001159174556151605,0.9988408254438484,1,Streptococcus mitis_1
Prevotella stercorea,NA,0.001168088289297957,0.9988319117107021,1,Prevotella stercorea_1
Ruminococcus champanellensis,NA,0.001195440304159753,0.9988045596958403,1,Ruminococcus champanellensis_1
Prevotella oralis,NA,0.001230065471527614,0.9987699345284724,1,Prevotella oralis_1
